Source_id,Source,Target_id,Target,weight
2200,PORT DE BECANCOUR,5210,THUNDER BAY,1
2200,PORT DE BECANCOUR,10100,BAHAI DE LA HABANA,1
2210,TROIS RIVIERES,3050,HAMILTON,2
2220,SOREL,2210,TROIS RIVIERES,1
2220,SOREL,2220,SOREL,2
2220,SOREL,2235,MONTREAL,3
2220,SOREL,2680,LOWER LAKES TERMINAL,1
2220,SOREL,3050,HAMILTON,4
2220,SOREL,3490,CLEVELAND,3
2220,SOREL,3560,TOLEDO,1
2220,SOREL,3730,GODERICH,1
2220,SOREL,4790,CALUMET HARBOR,3
2220,SOREL,6550,ST JOHN,1
2220,SOREL,8430,MOREHEAD CITY,1
2220,SOREL,8800,GULFPORT,1
2220,SOREL,11030,SAN PEDRO DE MACORIS,1
2235,MONTREAL,2200,PORT DE BECANCOUR,1
2235,MONTREAL,2220,SOREL,1
2235,MONTREAL,2235,MONTREAL,126
2235,MONTREAL,2550,BEAUHARNOIS,1
2235,MONTREAL,2570,ST ZOTIQUE,2
2235,MONTREAL,3050,HAMILTON,15
2235,MONTREAL,3060,PORT DALHOUSIE,3
2235,MONTREAL,3070,PORT WELLER,1
2235,MONTREAL,3250,PORT COLBORNE,2
2235,MONTREAL,3470,ASHTABULA,1
2235,MONTREAL,3490,CLEVELAND,2
2235,MONTREAL,3560,TOLEDO,1
2235,MONTREAL,3610,ROUGE RIVER,3
2235,MONTREAL,3620,DETROIT,1
2235,MONTREAL,4790,CALUMET HARBOR,2
2235,MONTREAL,4860,MILWAUKEE,1
2235,MONTREAL,5030,MENOMINEE,1
2235,MONTREAL,5210,THUNDER BAY,2
2235,MONTREAL,5450,SUPERIOR,1
2235,MONTREAL,5470,TWO HARBORS,4
2235,MONTREAL,7420,PROVIDENCE,1
2235,MONTREAL,8210,BALTIMORE,1
2235,MONTREAL,8430,MOREHEAD CITY,1
2235,MONTREAL,8530,SAVANNAH,1
2235,MONTREAL,8630,PORT EVERGLADES,1
2235,MONTREAL,8850,GRETNA,1
2235,MONTREAL,8940,DESTREHAN,2
2235,MONTREAL,9150,GALVESTON,1
2235,MONTREAL,9210,NORSWORTHY,1
2235,MONTREAL,9230,SINCO,5
2235,MONTREAL,9240,HOUSTON,1
2235,MONTREAL,9250,FREEPORT,1
2235,MONTREAL,9355,ALTAMIRA,1
2235,MONTREAL,9380,VERACRUZ,1
2235,MONTREAL,18960,PORT SIMPSON,1
2550,BEAUHARNOIS,3015,CLARKSON,1
2550,BEAUHARNOIS,3050,HAMILTON,2
2550,BEAUHARNOIS,3250,PORT COLBORNE,1
2550,BEAUHARNOIS,3560,TOLEDO,1
2550,BEAUHARNOIS,3610,ROUGE RIVER,3
2550,BEAUHARNOIS,3620,DETROIT,1
2550,BEAUHARNOIS,4780,INDIANA HARBOR,1
2550,BEAUHARNOIS,5210,THUNDER BAY,1
2570,ST ZOTIQUE,2550,BEAUHARNOIS,1
2570,ST ZOTIQUE,2570,ST ZOTIQUE,1
2570,ST ZOTIQUE,3050,HAMILTON,2
2570,ST ZOTIQUE,3070,PORT WELLER,1
2570,ST ZOTIQUE,3490,CLEVELAND,1
2570,ST ZOTIQUE,5210,THUNDER BAY,1
2570,ST ZOTIQUE,5470,TWO HARBORS,1
2620,CORNWALL,2235,MONTREAL,1
2680,LOWER LAKES TERMINAL,2680,LOWER LAKES TERMINAL,3
2680,LOWER LAKES TERMINAL,2980,OSHAWA,1
2680,LOWER LAKES TERMINAL,3060,PORT DALHOUSIE,1
2680,LOWER LAKES TERMINAL,3490,CLEVELAND,1
2680,LOWER LAKES TERMINAL,3530,SANDUSKY,2
2680,LOWER LAKES TERMINAL,3560,TOLEDO,1
2680,LOWER LAKES TERMINAL,3610,ROUGE RIVER,1
2680,LOWER LAKES TERMINAL,3700,SARNIA,1
2680,LOWER LAKES TERMINAL,3730,GODERICH,5
2680,LOWER LAKES TERMINAL,4220,THESSALON,1
2680,LOWER LAKES TERMINAL,4230,BRUCE MINES,1
2680,LOWER LAKES TERMINAL,4860,MILWAUKEE,1
2680,LOWER LAKES TERMINAL,5210,THUNDER BAY,2
2680,LOWER LAKES TERMINAL,8300,NEWPORT NEWS,1
2700,BROCKVILLE,2235,MONTREAL,1
2700,BROCKVILLE,2770,OGDENSBURG,1
2740,KINGSTON,2700,BROCKVILLE,1
2770,OGDENSBURG,2235,MONTREAL,2
2770,OGDENSBURG,2620,CORNWALL,1
2770,OGDENSBURG,3000,TORONTO,1
2770,OGDENSBURG,3730,GODERICH,1
2880,PICTON,2740,KINGSTON,1
2880,PICTON,3250,PORT COLBORNE,1
2880,PICTON,3480,FAIRPORT,1
2880,PICTON,4230,BRUCE MINES,1
2880,PICTON,4610,CHARLEVOIX,1
2880,PICTON,5470,TWO HARBORS,1
2975,CONTRECOUR,5210,THUNDER BAY,2
2980,OSHAWA,2220,SOREL,1
2980,OSHAWA,3050,HAMILTON,11
2980,OSHAWA,3490,CLEVELAND,3
2980,OSHAWA,3610,ROUGE RIVER,6
2980,OSHAWA,4790,CALUMET HARBOR,2
2980,OSHAWA,4860,MILWAUKEE,1
2980,OSHAWA,5210,THUNDER BAY,1
2980,OSHAWA,7420,PROVIDENCE,1
2980,OSHAWA,8280,NORFOLK,1
3000,TORONTO,2880,PICTON,1
3015,CLARKSON,2680,LOWER LAKES TERMINAL,1
3015,CLARKSON,3015,CLARKSON,89
3015,CLARKSON,3250,PORT COLBORNE,3
3015,CLARKSON,3460,CONNEAUT,1
3015,CLARKSON,3490,CLEVELAND,4
3015,CLARKSON,3530,SANDUSKY,5
3015,CLARKSON,3560,TOLEDO,4
3015,CLARKSON,3610,ROUGE RIVER,1
3015,CLARKSON,3730,GODERICH,5
3015,CLARKSON,4230,BRUCE MINES,2
3015,CLARKSON,5210,THUNDER BAY,2
3015,CLARKSON,5470,TWO HARBORS,2
3050,HAMILTON,2220,SOREL,3
3050,HAMILTON,2235,MONTREAL,5
3050,HAMILTON,2550,BEAUHARNOIS,2
3050,HAMILTON,2680,LOWER LAKES TERMINAL,2
3050,HAMILTON,2980,OSHAWA,1
3050,HAMILTON,3050,HAMILTON,24
3050,HAMILTON,3060,PORT DALHOUSIE,7
3050,HAMILTON,3070,PORT WELLER,2
3050,HAMILTON,3170,OSWEGO,1
3050,HAMILTON,3250,PORT COLBORNE,1
3050,HAMILTON,3470,ASHTABULA,1
3050,HAMILTON,3490,CLEVELAND,18
3050,HAMILTON,3500,LORAIN,1
3050,HAMILTON,3530,SANDUSKY,1
3050,HAMILTON,3560,TOLEDO,6
3050,HAMILTON,3610,ROUGE RIVER,7
3050,HAMILTON,3620,DETROIT,2
3050,HAMILTON,3730,GODERICH,5
3050,HAMILTON,4790,CALUMET HARBOR,11
3050,HAMILTON,5210,THUNDER BAY,3
3050,HAMILTON,5450,SUPERIOR,1
3050,HAMILTON,5460,DULUTH,3
3050,HAMILTON,5470,TWO HARBORS,1
3050,HAMILTON,8120,GLOUCESTER,1
3050,HAMILTON,9230,SINCO,1
3050,HAMILTON,9310,PORT ARANSAS,1
3050,HAMILTON,11030,SAN PEDRO DE MACORIS,1
3050,HAMILTON,16320,REDWOOD CITY,1
3060,PORT DALHOUSIE,2220,SOREL,2
3060,PORT DALHOUSIE,2235,MONTREAL,4
3060,PORT DALHOUSIE,2570,ST ZOTIQUE,1
3060,PORT DALHOUSIE,2680,LOWER LAKES TERMINAL,1
3060,PORT DALHOUSIE,2980,OSHAWA,3
3060,PORT DALHOUSIE,3050,HAMILTON,6
3060,PORT DALHOUSIE,3060,PORT DALHOUSIE,13
3060,PORT DALHOUSIE,3070,PORT WELLER,5
3060,PORT DALHOUSIE,3470,ASHTABULA,1
3060,PORT DALHOUSIE,3490,CLEVELAND,4
3060,PORT DALHOUSIE,3530,SANDUSKY,2
3060,PORT DALHOUSIE,3610,ROUGE RIVER,1
3060,PORT DALHOUSIE,3620,DETROIT,1
3060,PORT DALHOUSIE,4790,CALUMET HARBOR,2
3060,PORT DALHOUSIE,4860,MILWAUKEE,1
3060,PORT DALHOUSIE,5030,MENOMINEE,1
3060,PORT DALHOUSIE,5210,THUNDER BAY,1
3060,PORT DALHOUSIE,5460,DULUTH,1
3060,PORT DALHOUSIE,5470,TWO HARBORS,1
3060,PORT DALHOUSIE,8210,BALTIMORE,1
3060,PORT DALHOUSIE,8430,MOREHEAD CITY,1
3060,PORT DALHOUSIE,8670,TAMPA,2
3060,PORT DALHOUSIE,8920,ST ROSE,1
3070,PORT WELLER,2220,SOREL,1
3070,PORT WELLER,2235,MONTREAL,1
3070,PORT WELLER,2550,BEAUHARNOIS,1
3070,PORT WELLER,2980,OSHAWA,1
3070,PORT WELLER,3050,HAMILTON,3
3070,PORT WELLER,3060,PORT DALHOUSIE,3
3070,PORT WELLER,3070,PORT WELLER,2
3070,PORT WELLER,3250,PORT COLBORNE,1
3070,PORT WELLER,3450,ERIE,1
3070,PORT WELLER,3470,ASHTABULA,1
3070,PORT WELLER,3490,CLEVELAND,3
3070,PORT WELLER,3560,TOLEDO,1
3070,PORT WELLER,3610,ROUGE RIVER,1
3070,PORT WELLER,3700,SARNIA,2
3070,PORT WELLER,4760,GARY,1
3070,PORT WELLER,5210,THUNDER BAY,3
3070,PORT WELLER,5460,DULUTH,1
3070,PORT WELLER,5470,TWO HARBORS,1
3150,SACKETS HARBOR,3170,OSWEGO,1
3170,OSWEGO,3170,OSWEGO,11
3170,OSWEGO,3190,SODUS BAY,1
3170,OSWEGO,3200,ROCHESTER,6
3170,OSWEGO,3430,BUFFALO,7
3170,OSWEGO,3490,CLEVELAND,16
3170,OSWEGO,3560,TOLEDO,6
3200,ROCHESTER,3150,SACKETS HARBOR,1
3200,ROCHESTER,3170,OSWEGO,5
3200,ROCHESTER,3200,ROCHESTER,2
3200,ROCHESTER,3490,CLEVELAND,1
3250,PORT COLBORNE,2235,MONTREAL,2
3250,PORT COLBORNE,2570,ST ZOTIQUE,1
3250,PORT COLBORNE,2680,LOWER LAKES TERMINAL,1
3250,PORT COLBORNE,2770,OGDENSBURG,1
3250,PORT COLBORNE,2980,OSHAWA,1
3250,PORT COLBORNE,3015,CLARKSON,1
3250,PORT COLBORNE,3050,HAMILTON,1
3250,PORT COLBORNE,3250,PORT COLBORNE,3
3250,PORT COLBORNE,3450,ERIE,2
3250,PORT COLBORNE,3480,FAIRPORT,3
3250,PORT COLBORNE,3490,CLEVELAND,5
3250,PORT COLBORNE,3530,SANDUSKY,4
3250,PORT COLBORNE,3560,TOLEDO,3
3250,PORT COLBORNE,3610,ROUGE RIVER,7
3250,PORT COLBORNE,3700,SARNIA,3
3250,PORT COLBORNE,3730,GODERICH,5
3250,PORT COLBORNE,4560,SAULT STE MARIE,1
3250,PORT COLBORNE,4770,BUFFINGTON,1
3250,PORT COLBORNE,4780,INDIANA HARBOR,1
3250,PORT COLBORNE,4940,GREEN BAY,1
3250,PORT COLBORNE,5210,THUNDER BAY,2
3250,PORT COLBORNE,5460,DULUTH,2
3250,PORT COLBORNE,5470,TWO HARBORS,1
3250,PORT COLBORNE,9160,TEXAS CITY,1
3360,KINGSVILLE,3360,KINGSVILLE,1
3360,KINGSVILLE,3490,CLEVELAND,1
3360,KINGSVILLE,3530,SANDUSKY,1
3360,KINGSVILLE,3730,GODERICH,1
3360,KINGSVILLE,4230,BRUCE MINES,1
3390,WINDSOR,3480,FAIRPORT,3
3390,WINDSOR,3520,HURON,1
3390,WINDSOR,4330,MARINE CITY,1
3390,WINDSOR,4400,BAY CITY,1
3390,WINDSOR,4490,CALCITE,6
3390,WINDSOR,5460,DULUTH,1
3390,WINDSOR,5470,TWO HARBORS,1
3430,BUFFALO,3170,OSWEGO,3
3430,BUFFALO,3430,BUFFALO,1
3430,BUFFALO,3490,CLEVELAND,10
3430,BUFFALO,3530,SANDUSKY,3
3430,BUFFALO,3560,TOLEDO,3
3430,BUFFALO,4490,CALCITE,2
3430,BUFFALO,5460,DULUTH,1
3450,ERIE,3070,PORT WELLER,1
3450,ERIE,3470,ASHTABULA,1
3450,ERIE,3490,CLEVELAND,4
3450,ERIE,3530,SANDUSKY,2
3450,ERIE,3610,ROUGE RIVER,2
3450,ERIE,4760,GARY,1
3450,ERIE,5110,PORT INLAND,2
3450,ERIE,5470,TWO HARBORS,1
3460,CONNEAUT,3450,ERIE,2
3460,CONNEAUT,3460,CONNEAUT,3
3460,CONNEAUT,3470,ASHTABULA,1
3460,CONNEAUT,3480,FAIRPORT,1
3460,CONNEAUT,3560,TOLEDO,2
3460,CONNEAUT,3610,ROUGE RIVER,1
3460,CONNEAUT,4470,ALPENA,1
3460,CONNEAUT,4490,CALCITE,2
3460,CONNEAUT,4560,SAULT STE MARIE,1
3460,CONNEAUT,4760,GARY,8
3460,CONNEAUT,4780,INDIANA HARBOR,1
3460,CONNEAUT,5290,PRESQUE ISLE,1
3460,CONNEAUT,5460,DULUTH,4
3460,CONNEAUT,5470,TWO HARBORS,35
3470,ASHTABULA,2220,SOREL,1
3470,ASHTABULA,3050,HAMILTON,2
3470,ASHTABULA,3060,PORT DALHOUSIE,2
3470,ASHTABULA,3470,ASHTABULA,31
3470,ASHTABULA,3480,FAIRPORT,4
3470,ASHTABULA,3490,CLEVELAND,36
3470,ASHTABULA,3500,LORAIN,1
3470,ASHTABULA,3520,HURON,2
3470,ASHTABULA,3530,SANDUSKY,6
3470,ASHTABULA,3560,TOLEDO,5
3470,ASHTABULA,3610,ROUGE RIVER,1
3470,ASHTABULA,3660,SOMBRA,1
3470,ASHTABULA,3730,GODERICH,1
3470,ASHTABULA,4490,CALCITE,13
3470,ASHTABULA,4760,GARY,2
3470,ASHTABULA,4780,INDIANA HARBOR,5
3470,ASHTABULA,4830,WAUKEGAN,1
3470,ASHTABULA,5110,PORT INLAND,1
3470,ASHTABULA,5210,THUNDER BAY,4
3470,ASHTABULA,5290,PRESQUE ISLE,2
3470,ASHTABULA,5460,DULUTH,8
3470,ASHTABULA,5470,TWO HARBORS,3
3480,FAIRPORT,2880,PICTON,2
3480,FAIRPORT,3250,PORT COLBORNE,1
3480,FAIRPORT,3460,CONNEAUT,2
3480,FAIRPORT,3470,ASHTABULA,3
3480,FAIRPORT,3480,FAIRPORT,2
3480,FAIRPORT,3490,CLEVELAND,10
3480,FAIRPORT,3520,HURON,1
3480,FAIRPORT,3530,SANDUSKY,3
3480,FAIRPORT,3610,ROUGE RIVER,3
3480,FAIRPORT,3700,SARNIA,2
3480,FAIRPORT,3730,GODERICH,1
3480,FAIRPORT,4220,THESSALON,1
3480,FAIRPORT,4330,MARINE CITY,1
3480,FAIRPORT,4490,CALCITE,8
3480,FAIRPORT,4770,BUFFINGTON,1
3480,FAIRPORT,4780,INDIANA HARBOR,1
3480,FAIRPORT,4930,STURGEON BAY,1
3480,FAIRPORT,4940,GREEN BAY,1
3480,FAIRPORT,5110,PORT INLAND,1
3480,FAIRPORT,5290,PRESQUE ISLE,1
3490,CLEVELAND,2570,ST ZOTIQUE,1
3490,CLEVELAND,2680,LOWER LAKES TERMINAL,2
3490,CLEVELAND,2700,BROCKVILLE,1
3490,CLEVELAND,2980,OSHAWA,3
3490,CLEVELAND,3015,CLARKSON,8
3490,CLEVELAND,3060,PORT DALHOUSIE,5
3490,CLEVELAND,3070,PORT WELLER,1
3490,CLEVELAND,3170,OSWEGO,20
3490,CLEVELAND,3250,PORT COLBORNE,4
3490,CLEVELAND,3390,WINDSOR,1
3490,CLEVELAND,3430,BUFFALO,7
3490,CLEVELAND,3450,ERIE,1
3490,CLEVELAND,3470,ASHTABULA,29
3490,CLEVELAND,3480,FAIRPORT,6
3490,CLEVELAND,3490,CLEVELAND,131
3490,CLEVELAND,3500,LORAIN,5
3490,CLEVELAND,3520,HURON,1
3490,CLEVELAND,3530,SANDUSKY,17
3490,CLEVELAND,3560,TOLEDO,14
3490,CLEVELAND,3570,MONROE,1
3490,CLEVELAND,3610,ROUGE RIVER,31
3490,CLEVELAND,3620,DETROIT,1
3490,CLEVELAND,3660,SOMBRA,1
3490,CLEVELAND,3700,SARNIA,3
3490,CLEVELAND,3730,GODERICH,4
3490,CLEVELAND,4220,THESSALON,1
3490,CLEVELAND,4230,BRUCE MINES,5
3490,CLEVELAND,4290,SAULT STE MARIE,1
3490,CLEVELAND,4470,ALPENA,3
3490,CLEVELAND,4490,CALCITE,16
3490,CLEVELAND,4500,ROGERS CITY,1
3490,CLEVELAND,4560,SAULT STE MARIE,1
3490,CLEVELAND,4700,GRAND HAVEN,1
3490,CLEVELAND,4780,INDIANA HARBOR,9
3490,CLEVELAND,4790,CALUMET HARBOR,20
3490,CLEVELAND,4830,WAUKEGAN,1
3490,CLEVELAND,4860,MILWAUKEE,23
3490,CLEVELAND,4930,STURGEON BAY,1
3490,CLEVELAND,4940,GREEN BAY,9
3490,CLEVELAND,5110,PORT INLAND,2
3490,CLEVELAND,5210,THUNDER BAY,9
3490,CLEVELAND,5290,PRESQUE ISLE,5
3490,CLEVELAND,5460,DULUTH,12
3490,CLEVELAND,5470,TWO HARBORS,4
3490,CLEVELAND,8630,PORT EVERGLADES,1
3490,CLEVELAND,9250,FREEPORT,1
3500,LORAIN,2570,ST ZOTIQUE,1
3500,LORAIN,3060,PORT DALHOUSIE,1
3500,LORAIN,3480,FAIRPORT,1
3500,LORAIN,3490,CLEVELAND,4
3500,LORAIN,3560,TOLEDO,1
3500,LORAIN,3730,GODERICH,1
3500,LORAIN,4470,ALPENA,1
3500,LORAIN,4780,INDIANA HARBOR,1
3500,LORAIN,5210,THUNDER BAY,2
3500,LORAIN,5470,TWO HARBORS,1
3500,LORAIN,8670,TAMPA,1
3500,LORAIN,8920,ST ROSE,1
3520,HURON,3480,FAIRPORT,1
3520,HURON,3530,SANDUSKY,3
3520,HURON,3560,TOLEDO,1
3520,HURON,4490,CALCITE,2
3520,HURON,4760,GARY,2
3520,HURON,5290,PRESQUE ISLE,1
3520,HURON,5470,TWO HARBORS,1
3530,SANDUSKY,2570,ST ZOTIQUE,1
3530,SANDUSKY,2680,LOWER LAKES TERMINAL,1
3530,SANDUSKY,3015,CLARKSON,6
3530,SANDUSKY,3050,HAMILTON,1
3530,SANDUSKY,3250,PORT COLBORNE,6
3530,SANDUSKY,3450,ERIE,1
3530,SANDUSKY,3500,LORAIN,1
3530,SANDUSKY,3530,SANDUSKY,19
3530,SANDUSKY,3560,TOLEDO,14
3530,SANDUSKY,3580,TRENTON,1
3530,SANDUSKY,3610,ROUGE RIVER,31
3530,SANDUSKY,3660,SOMBRA,1
3530,SANDUSKY,3700,SARNIA,3
3530,SANDUSKY,3730,GODERICH,5
3530,SANDUSKY,4220,THESSALON,1
3530,SANDUSKY,4230,BRUCE MINES,1
3530,SANDUSKY,4290,SAULT STE MARIE,9
3530,SANDUSKY,4490,CALCITE,1
3530,SANDUSKY,4560,SAULT STE MARIE,1
3530,SANDUSKY,4940,GREEN BAY,2
3530,SANDUSKY,5110,PORT INLAND,2
3530,SANDUSKY,5130,GOULAIS BAY,1
3530,SANDUSKY,5210,THUNDER BAY,1
3530,SANDUSKY,5450,SUPERIOR,4
3530,SANDUSKY,5470,TWO HARBORS,1
3560,TOLEDO,2235,MONTREAL,1
3560,TOLEDO,2550,BEAUHARNOIS,1
3560,TOLEDO,2680,LOWER LAKES TERMINAL,1
3560,TOLEDO,3015,CLARKSON,3
3560,TOLEDO,3050,HAMILTON,3
3560,TOLEDO,3060,PORT DALHOUSIE,1
3560,TOLEDO,3070,PORT WELLER,2
3560,TOLEDO,3170,OSWEGO,4
3560,TOLEDO,3250,PORT COLBORNE,2
3560,TOLEDO,3480,FAIRPORT,2
3560,TOLEDO,3490,CLEVELAND,4
3560,TOLEDO,3500,LORAIN,1
3560,TOLEDO,3530,SANDUSKY,21
3560,TOLEDO,3560,TOLEDO,16
3560,TOLEDO,3570,MONROE,1
3560,TOLEDO,3610,ROUGE RIVER,10
3560,TOLEDO,3620,DETROIT,1
