port_id,port_name,lat,lon,region
61090,SHAKOTAN,43.866667,146.833333,
61110,MOMBETSU KO,44.35,143.35,
61120,ABASHIRI KO,44.016667,144.283333,
61130,NEMURO KO,43.333333,145.583333,
61140,HANASAKI KO,43.283333,145.583333,
61160,KUSHIRO KO,42.983333,144.366667,
61165,TOMAKOMAI KO,42.633333,141.633333,
61170,MURORAN KO,42.35,140.966667,
61180,MORI,42.116667,140.583333,
49500,GOPALPUR,19.25,84.916667,
47990,EL GHARDAQA,27.216667,33.85,
48015,RAS SHUKHIER,28.133333,33.283333,
48020,RAS GHARIB,28.35,33.1,
48040,AS SUWAYS,29.966667,32.55,
48045,EL-ADABIYA,29.866667,32.466667,
48050,EL ISMAILIYA,30.583333,32.283333,
48060,RAS ABU ZANIMAH,29.033333,33.116667,
48065,WADI FEIRAN,28.75,33.2,
48076,ELAT,29.55,34.95,
48090,AL AQABAH,29.516667,35.0,
32420,KETTLETOFT,59.233333,-2.6,
48120,YANBU,24.083333,38.05,
48140,JIDDAH,21.483333,39.183333,
48142,JIZAN,16.9,42.483333,
46780,SIMONSTOWN,-34.183333,18.433333,
46800,MOSSEL BAY,-34.183333,22.15,
46820,PORT ELIZABETH,-33.966667,25.616667,
33770,BELFAST,54.616667,-5.9,
33790,LARNE,54.85,-5.8,
33820,COLERAINE,55.133333,-6.666667,
33830,LONDONDERRY,55.0,-7.316667,
33060,ORNSAY,57.15,-5.8,
32290,BUCKIE HARBOR,57.683333,-2.966667,
32300,LOSSIEMOUTH,57.716667,-3.283333,
32320,BURGHEAD,57.7,-3.5,
32330,INVERNESS,57.483333,-4.233333,
32340,CROMARTY,57.683333,-4.033333,
32350,INVERGORDON,57.683333,-4.166667,
32360,PORTMAHOMACK HARBOR,57.833333,-3.833333,
32370,HELMSDALE HARBOR,58.116667,-3.65,
32380,WICK,58.433333,-3.083333,
32410,PIEROWALL,59.3,-2.983333,
32430,WHITEHALL,59.133333,-2.6,
32440,KIRKWALL,58.983333,-2.966667,
32450,STROMNESS,58.966667,-3.3,
32460,SOUTH NESS,58.8,-3.2,
32470,ST MARGARETS HOPE,58.833333,-2.95,
32490,LYNESS,58.833333,-3.2,
32500,SCAPA BAY,58.95,-2.983333,
13040,IMBITUBA,-28.233333,-48.666667,
12935,GUAIBA ISLAND TERMINAL,-23.016667,-44.033333,
12900,DTSE / GEGUA OIL TERMINAL,-22.816667,-43.15,
12950,GEBIG,-23.05,-44.216667,
60810,DE KASTRI,51.466667,140.783333,
60820,NIKOLAYEVSK NA AMUR,53.133333,140.733333,
60860,OKHA,53.55,143.0,
60880,PORONAYSK,49.216667,143.133333,
60920,KORSAKOV,46.616667,142.766667,
60930,NEVELSK,46.666667,141.866667,
60940,KHOLMSK,47.05,142.05,
60980,UGLEGORSK,49.083333,142.033333,
60990,LESOGORSK,49.45,142.133333,
60380,MASAN,35.183333,128.566667,
60390,PUSAN,35.1,129.033333,
60400,ULSAN,35.45,129.4,
59910,WENZHOU,28.016667,120.65,
59950,ZHEN HAI,29.95,121.7,
59960,ZHOUSHAN,30.0,122.1,
